battery_power,bluetooth,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1190,1,2.1,0,0.0,1,18,0.6,160.0,6,2,644,1070,3571.0,6,5,5,1,0,0,1
1396,1,0.8,1,7.0,1,10,0.3,108.0,4,16,646,1721,3881.0,13,0,9,1,1,1,3
1598,1,1.7,1,0.0,0,57,0.9,89.0,1,1,371,783,1663.0,14,9,14,1,0,1,1
1692,0,2.2,0,5.0,1,11,0.1,151.0,3,7,1256,1386,524.0,5,2,10,1,1,0,2
628,1,0.5,0,0.0,1,26,0.5,106.0,8,2,389,517,1853.0,13,10,12,1,1,1,1
1883,0,0.7,1,1.0,0,6,0.9,145.0,6,4,123,1320,2067.0,8,0,9,1,0,1,0
819,1,0.5,0,5.0,1,16,0.1,163.0,1,10,663,1788,3325.0,15,5,16,1,0,0,0
651,0,1.6,1,0.0,1,7,0.6,129.0,1,6,1268,1423,2151.0,19,10,20,1,1,1,3
723,0,1.1,0,2.0,0,27,0.7,145.0,2,9,98,1175,2044.0,13,6,11,0,1,0,1
1367,1,0.9,0,2.0,1,58,0.6,184.0,4,20,721,1210,3946.0,16,9,9,1,0,0,2
1784,1,1.4,0,1.0,1,3,0.3,125.0,5,5,1424,1672,2110.0,10,5,8,1,0,1,2
1744,1,0.9,1,5.0,1,35,0.3,137.0,7,9,915,1554,656.0,17,4,7,1,0,0,3
1086,0,2.5,0,11.0,0,7,0.5,116.0,6,14,635,1839,3297.0,18,0,16,1,0,0,1
899,0,1.7,1,0.0,1,3,0.1,165.0,8,0,167,1239,1296.0,14,11,9,1,0,1,0
896,0,0.8,0,3.0,0,29,0.5,91.0,6,10,135,820,1650.0,16,6,13,1,0,0,0
1714,0,1.6,1,9.0,1,59,0.5,186.0,8,19,991,1274,2546.0,18,10,11,1,1,1,3
1395,1,0.6,0,5.0,0,38,0.3,167.0,6,16,896,1501,915.0,5,4,6,1,1,0,3
786,0,1.8,1,2.0,0,28,0.5,198.0,1,7,3,1058,331.0,14,2,2,1,0,1,1
1687,0,1.2,1,4.0,0,14,0.9,120.0,2,14,924,1461,3975.0,19,3,10,0,1,1,1
669,1,2.6,1,18.0,1,10,0.6,171.0,5,20,1300,1834,2801.0,6,2,10,1,0,0,2
1423,1,2.1,0,1.0,0,51,0.8,178.0,4,18,633,1371,3331.0,8,2,8,1,1,0,1
1600,0,2.0,1,5.0,0,44,0.1,98.0,1,8,735,1205,2939.0,8,3,19,1,1,1,3
1621,1,0.6,1,14.0,0,59,0.7,160.0,7,16,213,1120,2706.0,12,3,20,1,0,0,3
1672,1,1.9,0,10.0,0,37,0.3,194.0,7,15,495,839,1335.0,7,1,8,0,1,1,1
1934,0,2.7,0,9.0,1,48,0.1,128.0,4,18,475,853,3370.0,7,6,2,1,0,1,1
1650,1,0.6,0,0.0,0,62,0.3,81.0,3,15,1305,1918,2596.0,5,2,10,0,0,0,3
1700,0,0.5,1,1.0,0,33,0.8,189.0,5,2,382,1151,2477.0,9,8,3,0,0,1,3
1550,1,2.0,0,1.0,1,29,0.6,171.0,5,2,572,1499,3465.0,10,1,14,1,1,0,2
626,0,1.9,0,4.0,0,8,0.2,185.0,2,6,16,1410,2589.0,15,10,14,0,1,1,3
1737,1,2.0,1,0.0,0,14,0.4,156.0,5,2,1028,1757,2363.0,8,0,10,1,0,1,0
1370,0,1.7,0,1.0,0,6,0.7,113.0,1,7,482,1689,1302.0,7,3,3,0,0,1,1
1899,1,0.8,1,15.0,0,14,0.4,191.0,4,16,1200,1345,1677.0,5,1,14,0,0,1,3
848,1,0.6,0,0.0,0,31,0.7,123.0,5,1,299,756,1108.0,15,6,18,1,1,0,1
1430,1,2.0,1,0.0,1,16,0.2,171.0,4,1,696,757,2916.0,6,3,10,1,1,0,0
768,1,0.5,1,1.0,0,45,0.1,175.0,4,16,1164,1376,3947.0,6,1,12,1,1,0,1
1856,1,1.9,1,9.0,1,15,0.5,160.0,3,14,450,714,1514.0,7,1,13,1,1,0,3
900,1,0.5,0,11.0,1,64,0.7,149.0,4,12,164,708,942.0,13,5,2,1,1,0,0
1729,0,2.3,1,0.0,0,38,0.2,136.0,7,8,77,1910,700.0,8,2,7,1,1,1,0
1533,1,2.8,0,3.0,0,42,0.2,87.0,1,13,1316,1618,3246.0,10,2,8,0,1,0,3
1210,1,2.3,0,0.0,0,63,0.9,141.0,6,4,51,1761,977.0,14,6,20,1,0,0,0
1880,1,1.8,1,1.0,1,10,0.5,198.0,8,4,1664,1708,3538.0,19,16,17,1,0,1,1
996,0,0.5,1,14.0,0,61,0.8,174.0,7,15,400,989,1235.0,11,10,16,1,1,1,1
1175,0,3.0,1,12.0,1,40,0.1,172.0,5,18,812,1251,1507.0,15,14,18,1,1,0,2
1773,0,0.5,1,7.0,0,33,0.3,143.0,5,13,831,1170,1994.0,16,9,20,1,0,0,0
1263,0,2.4,1,11.0,1,54,0.6,100.0,5,14,12,1857,458.0,12,5,15,1,0,0,2
1956,0,1.2,1,10.0,1,5,0.8,156.0,4,11,870,1753,2130.0,7,3,10,1,1,1,3
992,0,1.6,1,10.0,0,27,0.3,162.0,4,14,106,767,3894.0,15,9,13,1,0,1,2
911,1,1.7,0,1.0,1,13,0.3,126.0,5,2,713,760,1843.0,13,6,11,1,0,1,3
1979,0,0.5,1,15.0,0,54,0.3,136.0,3,19,669,1311,3151.0,12,1,20,1,1,1,0
1899,0,0.5,1,0.0,1,55,0.3,93.0,4,0,1359,1981,1796.0,7,4,11,1,0,1,2
1649,1,0.8,1,1.0,1,40,0.1,159.0,3,3,177,586,2755.0,15,9,3,1,0,1,3
1095,1,1.8,1,9.0,0,47,0.3,152.0,6,15,354,1827,1334.0,12,2,12,0,0,1,1
1074,0,0.7,0,0.0,1,61,0.6,117.0,4,11,305,1770,2791.0,7,1,12,1,0,1,0
656,0,2.7,1,0.0,1,48,0.2,164.0,2,0,303,508,1132.0,5,0,14,1,0,0,0
1394,1,2.7,1,7.0,0,8,0.8,150.0,3,9,215,1018,730.0,15,7,4,0,1,1,1
1632,1,1.1,0,2.0,1,45,0.8,132.0,4,3,22,1256,379.0,18,13,19,1,0,0,0
1225,0,2.9,0,13.0,0,35,0.5,128.0,3,17,1324,1490,1261.0,12,4,15,0,0,0,3
1337,1,2.4,1,0.0,0,48,0.9,107.0,6,2,819,1129,3213.0,10,5,15,0,0,0,3
1178,1,1.1,1,0.0,1,11,0.5,98.0,2,1,1549,1661,2106.0,17,10,4,1,0,1,0
1269,0,1.5,1,1.0,0,51,0.7,180.0,4,19,410,1782,827.0,15,6,12,1,1,0,0
1526,1,1.2,0,7.0,1,32,0.5,128.0,4,12,1152,1592,647.0,19,3,18,1,0,1,0
986,0,0.7,1,7.0,1,16,0.4,144.0,8,9,234,628,300.0,8,5,7,1,0,1,2
848,0,0.5,1,1.0,1,41,0.2,171.0,2,2,388,1015,3939.0,6,3,3,1,1,0,1
1904,1,0.5,1,8.0,0,14,0.5,95.0,4,13,636,828,2091.0,8,0,6,0,1,1,2
803,1,2.2,1,0.0,0,16,0.1,105.0,1,0,199,736,1492.0,17,12,18,1,0,0,1
1399,1,1.9,1,1.0,0,56,0.3,153.0,1,15,130,611,3128.0,17,2,19,1,1,0,1
788,1,1.5,1,0.0,1,22,0.5,163.0,4,6,1114,1732,3750.0,13,10,12,1,0,1,1
579,1,1.1,0,6.0,1,58,0.2,125.0,1,9,786,1685,1435.0,18,9,10,1,0,0,1
1010,0,0.7,1,4.0,1,28,0.5,195.0,8,5,117,841,3302.0,14,2,7,1,1,0,1
530,1,0.5,1,0.0,0,47,0.5,93.0,3,2,463,912,3455.0,19,8,2,1,1,1,2
1289,1,1.8,0,1.0,0,64,0.6,125.0,7,14,173,548,2782.0,9,3,14,0,0,1,2
1877,1,0.5,0,4.0,0,10,0.9,123.0,8,6,134,610,3969.0,6,0,7,0,0,1,3
1764,0,2.7,0,11.0,1,48,0.9,90.0,7,17,444,581,1589.0,19,10,20,1,1,1,0
1709,0,2.2,1,1.0,1,13,0.6,191.0,6,6,74,516,3899.0,16,13,3,1,0,1,2
1690,0,1.3,1,0.0,0,28,0.9,85.0,3,1,1304,1332,3571.0,18,2,6,1,0,1,2
600,0,2.5,1,3.0,0,9,0.2,145.0,4,10,584,714,2800.0,17,6,5,0,1,0,2
743,0,0.5,0,9.0,1,53,0.3,149.0,2,10,670,1070,2938.0,9,3,13,1,1,1,1
1850,0,2.2,1,9.0,0,41,0.8,133.0,8,13,27,518,3032.0,8,1,10,1,1,1,2
1297,0,0.5,1,12.0,0,17,0.1,196.0,1,14,559,813,3652.0,19,4,12,0,1,1,3
1706,0,1.8,1,10.0,1,44,0.2,137.0,5,13,716,1440,3238.0,5,3,20,1,0,0,0
1967,0,0.5,0,11.0,1,23,0.6,135.0,5,16,931,1726,325.0,16,0,3,1,0,1,1
1392,1,0.5,1,6.0,0,63,0.5,181.0,2,9,573,1468,3850.0,12,8,13,0,1,0,2
1248,1,2.1,1,2.0,1,12,0.1,170.0,2,3,328,1378,1266.0,11,0,6,1,1,0,2
894,1,0.5,1,2.0,0,27,0.3,192.0,2,6,932,1576,3454.0,9,4,14,0,1,0,2
1829,0,0.5,0,2.0,1,54,0.6,98.0,3,20,383,1160,1634.0,7,0,12,1,0,0,2
1372,0,0.6,0,3.0,1,42,0.7,124.0,6,10,68,1998,3208.0,18,5,9,1,1,1,1
1429,1,1.0,0,7.0,0,11,0.7,150.0,4,8,436,813,1955.0,7,5,2,1,1,0,3
706,0,0.5,1,10.0,1,4,0.8,190.0,5,18,204,966,3735.0,12,7,20,1,1,1,0
649,0,1.9,0,0.0,0,51,0.6,179.0,4,12,1174,1388,3446.0,11,5,18,0,1,1,2
1137,1,0.8,0,3.0,1,7,1.0,122.0,3,18,537,620,946.0,13,4,7,1,0,1,2
1320,1,0.5,1,11.0,1,6,0.2,164.0,1,14,1034,1836,1626.0,11,9,14,1,0,1,1
792,0,0.8,0,7.0,0,48,0.5,144.0,4,16,371,888,1583.0,15,2,20,0,1,1,2
918,1,2.7,0,7.0,0,25,0.9,149.0,7,8,178,1850,3676.0,6,2,2,1,0,1,0
929,1,0.5,1,7.0,1,13,1.0,146.0,7,8,213,1714,1704.0,15,2,5,1,0,0,0
767,1,0.5,1,4.0,0,30,0.8,100.0,5,8,798,1955,3485.0,9,1,4,1,0,1,3
1739,0,2.6,0,9.0,0,39,0.5,135.0,8,10,86,1957,1882.0,13,12,8,1,1,0,1
1315,0,0.5,0,0.0,1,15,0.4,134.0,1,0,489,624,3928.0,8,4,8,1,0,1,0
1388,0,1.4,1,4.0,1,31,0.6,184.0,1,14,1338,1443,346.0,8,2,12,1,0,0,3
1981,0,2.5,1,1.0,0,36,0.3,94.0,4,2,128,1457,395.0,9,7,15,0,1,0,2
569,0,0.5,1,1.0,1,53,1.0,170.0,8,20,457,1555,1243.0,17,10,10,1,1,0,0
1930,0,1.3,0,2.0,0,57,0.2,151.0,1,9,678,1117,682.0,16,10,8,0,0,1,0
725,1,0.5,0,10.0,0,61,0.8,108.0,3,17,260,508,3074.0,7,6,12,0,0,1,2
1690,0,2.2,0,0.0,0,51,0.8,130.0,8,15,713,1092,451.0,6,4,7,0,0,1,3
712,1,1.4,0,1.0,1,33,0.2,86.0,4,5,163,799,1471.0,15,0,10,1,0,0,2
1603,1,0.5,1,8.0,1,37,1.0,95.0,8,9,1430,1622,1748.0,15,10,5,1,1,0,1
1850,1,2.8,0,0.0,0,18,0.1,132.0,8,3,633,1382,1853.0,15,0,9,1,1,0,3
1472,1,0.7,1,4.0,1,41,1.0,145.0,3,6,242,619,1514.0,8,1,16,1,1,1,1
1858,0,0.7,1,1.0,1,43,0.2,167.0,5,3,1154,1473,1886.0,9,3,7,1,1,1,3
1543,1,2.6,1,0.0,1,46,0.8,116.0,8,13,48,679,3023.0,6,4,4,1,1,0,0
652,1,2.8,1,4.0,0,37,0.8,174.0,6,11,416,1652,2904.0,16,8,16,0,0,0,3
546,0,1.8,1,6.0,1,55,0.9,100.0,6,12,493,1477,628.0,12,3,10,1,1,1,2
1408,1,1.4,1,1.0,0,6,0.9,145.0,8,3,621,692,1833.0,9,1,19,0,1,0,0
1021,0,1.5,1,3.0,1,31,0.1,97.0,7,10,189,1327,1066.0,18,15,17,1,1,1,1
567,0,1.4,1,14.0,0,60,0.1,111.0,2,15,152,1326,1150.0,17,16,4,1,0,1,0
1967,1,2.6,1,4.0,0,62,1.0,91.0,8,10,1355,1850,2839.0,13,7,10,1,0,0,3
1658,0,2.0,1,8.0,1,61,0.1,180.0,3,20,443,1100,2857.0,7,1,5,1,0,1,1
1088,1,3.0,1,2.0,1,52,0.3,164.0,7,4,86,588,1447.0,19,16,15,1,1,1,2
542,1,0.7,0,2.0,1,12,0.2,185.0,2,3,1674,1969,3445.0,17,2,4,1,1,1,2
788,0,1.6,1,6.0,1,52,0.1,96.0,1,20,530,1436,1941.0,14,0,19,1,1,0,2
576,1,2.5,1,10.0,0,57,0.7,179.0,5,15,1009,1656,2522.0,11,5,12,0,1,0,2
950,1,1.6,0,5.0,1,41,0.5,188.0,3,20,193,727,2932.0,10,7,20,1,0,0,3
518,1,0.8,0,3.0,1,17,0.5,133.0,3,7,564,765,2239.0,7,3,7,1,1,1,3
1996,1,1.9,0,4.0,0,55,0.3,81.0,7,8,890,1661,1852.0,8,2,4,0,1,1,1
1197,0,2.9,0,6.0,1,38,0.1,83.0,6,17,1516,1910,3525.0,13,9,16,1,0,0,2
1006,1,2.5,1,9.0,0,14,0.7,186.0,1,12,348,640,1955.0,17,6,9,1,1,0,3
1679,1,1.5,0,2.0,1,4,0.1,133.0,4,3,349,531,1557.0,16,15,12,1,0,1,3
1262,0,1.4,1,7.0,1,64,0.1,116.0,7,16,37,1018,3060.0,5,1,4,1,1,1,1
560,0,1.3,1,13.0,0,29,1.0,160.0,1,19,906,1189,2832.0,16,1,7,1,0,0,3
904,0,2.4,0,5.0,1,55,0.6,158.0,4,13,529,764,2008.0,6,1,16,1,0,0,3
1834,1,2.1,0,1.0,1,55,0.1,137.0,3,10,670,1179,2420.0,15,3,8,1,0,1,1
681,0,1.2,1,8.0,0,13,0.8,87.0,3,17,288,621,292.0,12,10,18,0,0,1,3
687,0,0.6,1,13.0,1,14,0.4,185.0,2,16,721,1620,1580.0,19,4,19,1,1,1,3
863,0,2.9,0,11.0,1,52,0.8,119.0,6,13,1060,1547,1345.0,7,0,20,1,0,0,0
518,1,2.7,0,0.0,1,45,0.7,159.0,6,15,564,739,1208.0,10,9,9,1,1,0,1
1488,0,1.8,0,0.0,1,2,0.1,124.0,4,0,765,777,3349.0,17,6,2,1,0,0,3
944,0,2.4,0,0.0,0,35,0.5,127.0,3,1,7,719,2804.0,9,4,10,1,1,0,2
1283,0,0.5,1,6.0,0,48,0.5,176.0,6,9,880,964,1182.0,11,8,17,1,1,0,3
817,1,1.0,1,13.0,1,40,0.8,140.0,4,17,1180,1790,436.0,19,6,14,1,0,1,3
804,0,2.6,1,2.0,0,49,0.6,105.0,1,18,638,939,2256.0,16,1,7,1,0,1,2
1883,1,2.6,0,2.0,1,50,0.1,169.0,5,3,313,561,427.0,17,8,10,1,0,1,2
1177,0,0.5,0,5.0,1,2,0.9,141.0,7,12,490,793,715.0,19,5,4,1,0,0,3
1765,1,2.0,0,7.0,0,18,0.9,85.0,4,8,791,1580,1199.0,7,4,10,1,0,0,3
1997,0,2.1,0,10.0,1,60,0.7,84.0,8,16,1130,1687,788.0,17,15,8,1,0,1,0
989,1,2.6,1,1.0,0,14,0.2,148.0,4,11,513,1089,507.0,13,10,13,0,1,1,2
1370,1,0.6,1,0.0,1,56,0.5,124.0,6,3,919,1113,974.0,5,4,15,1,0,0,2
861,0,0.5,0,0.0,0,64,0.8,105.0,7,1,1376,1864,600.0,15,1,12,0,1,0,0
1745,0,1.8,0,0.0,0,45,0.1,110.0,2,2,1070,1445,2352.0,11,9,16,1,0,1,3
1187,0,0.6,1,0.0,1,4,0.7,92.0,8,0,709,1306,2518.0,14,12,20,1,1,1,1
1422,1,1.8,0,12.0,0,3,0.9,145.0,1,13,1023,1223,3941.0,9,7,2,0,0,0,2
658,1,2.4,0,0.0,1,38,1.0,94.0,8,1,479,1300,2585.0,19,2,8,1,0,0,3
1180,1,2.3,1,0.0,1,32,0.8,97.0,2,1,1603,1762,3504.0,17,7,10,1,1,1,2
521,1,2.6,1,1.0,1,64,0.8,200.0,4,11,575,1089,834.0,6,5,12,1,1,1,1
666,0,1.1,0,1.0,1,28,0.9,179.0,1,13,157,1466,3850.0,7,5,9,1,1,1,1
805,1,1.5,0,0.0,0,25,0.3,174.0,2,3,522,553,1580.0,15,13,3,1,0,0,1
1008,1,2.9,0,0.0,0,39,0.9,161.0,6,5,565,1228,3589.0,14,1,18,1,0,1,0
986,0,2.8,0,0.0,1,26,0.1,80.0,8,9,0,1214,1316.0,7,5,8,1,0,0,1
1655,0,2.0,0,0.0,0,23,0.6,192.0,2,1,586,641,1872.0,11,9,13,1,1,0,2
1391,1,0.5,0,0.0,1,53,0.2,114.0,5,1,996,1521,1114.0,8,0,17,1,0,1,2
1042,1,0.5,1,11.0,0,13,0.1,148.0,3,20,98,569,1715.0,17,7,7,1,1,1,0
916,1,1.1,1,5.0,1,44,0.9,116.0,3,16,893,1132,2367.0,8,5,7,1,0,1,2
681,0,2.6,0,1.0,0,29,0.9,162.0,3,7,1262,1332,575.0,15,5,4,1,1,1,2
1224,1,1.1,1,1.0,1,34,1.0,138.0,6,3,1545,1751,2992.0,13,5,3,1,1,0,0
1234,0,2.1,1,4.0,1,44,0.4,107.0,3,17,797,1054,2819.0,13,3,8,1,0,1,3
1093,1,2.7,0,8.0,0,63,0.5,138.0,8,9,605,1966,3556.0,13,2,13,0,0,1,1
583,0,0.5,0,9.0,1,33,0.9,136.0,5,18,1673,1774,3236.0,12,9,13,1,0,0,1
1598,1,1.0,1,8.0,1,49,0.5,115.0,2,14,537,1233,1313.0,12,2,7,1,1,0,3
1988,1,2.8,1,3.0,0,34,0.4,163.0,3,16,1221,1981,2872.0,7,6,20,1,1,1,1
1746,0,0.5,1,9.0,0,51,0.8,184.0,7,19,754,790,1822.0,18,17,15,0,1,0,3
907,1,2.7,0,8.0,0,53,0.7,156.0,2,13,10,1881,3469.0,8,5,12,1,0,0,1
1472,0,0.5,0,3.0,1,53,0.7,103.0,1,4,438,690,2001.0,14,0,14,1,1,1,0
916,1,1.3,0,5.0,0,10,0.8,173.0,4,8,43,1012,3706.0,9,8,15,0,1,0,0
1427,1,0.8,1,2.0,0,31,0.9,186.0,1,20,934,1005,2542.0,7,6,10,0,0,0,3
1101,1,2.9,1,3.0,0,5,0.5,141.0,5,7,90,642,1567.0,15,2,11,1,1,0,1
723,1,0.5,0,0.0,0,36,0.8,104.0,4,0,263,514,2669.0,17,6,16,0,0,1,3
1403,0,0.7,1,4.0,0,32,0.1,117.0,1,5,257,551,2499.0,16,10,4,0,0,1,0
657,1,0.8,1,4.0,0,45,0.1,87.0,1,6,843,1260,2273.0,15,12,10,0,1,0,0
1688,1,0.8,0,0.0,0,14,0.9,118.0,1,2,48,1425,1773.0,13,0,18,1,1,1,1
1086,0,0.5,0,10.0,0,35,0.6,125.0,7,17,577,1296,421.0,7,5,6,1,0,1,3
876,1,1.1,0,2.0,1,48,0.9,196.0,2,3,524,1225,630.0,17,9,18,1,0,1,1
1065,0,0.5,0,0.0,0,25,0.6,189.0,6,1,776,996,1114.0,5,1,19,0,0,1,0
1235,0,1.5,0,3.0,0,33,0.1,164.0,8,16,633,1891,1623.0,10,3,20,1,1,1,0
1959,1,2.7,0,0.0,1,2,0.2,92.0,3,11,992,1418,2125.0,14,7,8,1,1,0,2
650,1,1.5,0,12.0,0,48,0.8,187.0,4,14,986,1291,1622.0,8,6,19,1,1,1,2
1465,1,2.9,0,0.0,0,38,0.3,88.0,1,7,478,613,1162.0,14,10,10,1,1,1,2
1030,0,0.9,0,6.0,1,29,0.1,113.0,1,7,174,624,3762.0,5,4,12,1,0,0,1
853,1,1.9,1,17.0,1,26,0.5,94.0,6,18,114,817,3069.0,19,17,20,1,0,0,1
744,1,2.2,0,6.0,1,52,0.9,196.0,4,7,268,600,1571.0,7,5,18,1,1,1,1
583,1,1.1,1,15.0,0,24,0.4,168.0,2,19,301,1111,3260.0,14,6,14,1,1,0,3
690,0,0.5,0,2.0,0,62,0.3,88.0,1,9,633,1240,3206.0,16,10,19,1,0,0,0
683,1,1.9,1,16.0,1,56,0.1,190.0,1,17,144,585,592.0,17,9,3,1,0,0,3
590,0,2.3,1,2.0,0,30,0.3,178.0,3,14,486,825,1188.0,18,11,14,1,0,1,2
1266,1,1.0,0,0.0,1,2,0.7,87.0,7,1,640,1357,3067.0,11,10,16,1,0,1,1
815,1,1.8,0,9.0,0,18,0.9,83.0,7,12,243,525,2131.0,17,7,5,0,1,0,3
1893,1,1.5,1,0.0,1,42,0.5,179.0,1,3,1133,1851,1425.0,19,1,10,1,0,0,1
1202,0,2.5,1,3.0,0,22,0.4,112.0,2,8,1900,1959,291.0,5,2,4,0,0,0,0
1577,1,1.5,0,16.0,1,3,0.7,180.0,8,17,523,573,3116.0,13,6,16,1,1,0,2
1234,0,2.9,0,8.0,1,44,0.8,129.0,1,12,1783,1891,2440.0,7,4,19,1,1,0,2
717,0,1.8,0,1.0,1,25,0.4,173.0,5,8,668,1587,3631.0,6,5,6,1,0,1,1
1074,1,1.5,0,5.0,0,35,0.6,193.0,4,13,269,597,1104.0,16,10,15,0,1,0,0
1439,1,1.2,0,11.0,1,58,0.2,183.0,1,20,794,1552,3069.0,17,11,2,1,1,0,0
983,1,1.6,0,7.0,1,55,0.4,168.0,8,8,205,963,1425.0,14,0,4,1,1,0,3
1988,0,2.5,0,7.0,1,63,0.6,153.0,4,11,615,937,2276.0,13,7,11,1,0,0,3
1692,0,1.3,1,0.0,1,25,0.7,149.0,3,12,1111,1898,3192.0,9,4,3,1,1,1,0
718,1,0.5,1,2.0,0,35,0.9,181.0,4,5,1226,1763,3021.0,10,4,12,0,0,1,0
1519,0,0.5,0,0.0,1,36,0.6,93.0,8,2,661,1852,3082.0,18,11,9,1,0,0,1
776,0,3.0,1,9.0,0,9,0.5,110.0,2,12,584,974,1346.0,5,2,3,0,0,1,3
881,1,2.8,0,1.0,0,36,0.5,167.0,1,6,1381,1444,2354.0,19,10,5,1,1,1,3
1018,0,0.6,1,0.0,1,25,0.8,152.0,7,2,292,616,732.0,12,8,13,1,1,0,1
1031,1,0.5,1,2.0,1,31,0.1,82.0,8,19,737,1404,2305.0,10,4,4,1,1,0,0
875,0,1.0,0,14.0,0,37,0.6,151.0,7,20,1289,1668,2985.0,6,1,9,1,1,1,2
1341,0,1.0,0,5.0,1,40,0.2,128.0,5,12,1434,1700,265.0,19,3,3,1,1,1,2
560,1,2.4,0,4.0,1,5,0.3,106.0,1,8,1338,1386,2050.0,18,13,6,1,0,0,3
1719,0,2.1,0,0.0,1,63,0.7,189.0,7,2,589,1637,1669.0,14,0,13,1,0,1,0
1703,0,1.6,0,16.0,1,43,1.0,139.0,8,17,178,1972,585.0,13,11,17,1,1,1,3
1408,1,1.8,0,1.0,0,59,0.8,168.0,1,2,716,1470,342.0,8,0,8,1,0,1,3
701,1,0.8,0,3.0,0,53,0.2,87.0,4,7,1063,1149,1972.0,9,8,5,1,0,0,0
1560,1,0.5,0,14.0,0,47,0.3,172.0,2,18,910,1908,1540.0,17,7,3,0,0,0,3
695,1,1.0,0,4.0,0,51,0.8,93.0,5,5,174,538,2463.0,7,2,4,1,1,1,0
1487,0,0.6,0,18.0,1,6,0.8,191.0,4,19,665,1072,3259.0,11,9,13,1,0,1,3
1546,1,2.7,0,3.0,0,55,0.2,115.0,7,14,1425,1594,3371.0,16,7,15,0,0,1,1
511,1,0.7,0,12.0,1,43,0.4,120.0,4,15,1291,1583,3370.0,16,5,6,1,0,0,0
507,0,1.1,0,5.0,0,33,0.6,186.0,1,6,535,897,2884.0,18,7,7,0,0,0,2
1490,1,1.1,0,2.0,0,10,0.6,130.0,2,7,1357,1826,2994.0,16,1,8,1,0,1,2
1859,0,0.5,0,0.0,1,52,1.0,187.0,1,2,651,966,1604.0,15,12,10,1,0,0,1
1257,0,1.8,0,3.0,1,31,0.6,155.0,5,10,1006,1533,2014.0,15,8,12,1,0,0,2
926,0,2.7,1,0.0,1,29,0.7,118.0,5,18,349,1594,2709.0,5,4,18,1,0,1,0
1303,0,0.5,0,2.0,0,7,0.6,98.0,4,5,740,1908,2865.0,17,3,12,0,0,0,3
657,0,1.6,1,0.0,0,35,0.6,143.0,5,14,1189,1545,3617.0,17,14,14,0,0,1,2
1812,0,0.9,1,9.0,0,44,0.2,197.0,3,16,299,1212,3814.0,9,6,13,1,1,0,0
1943,0,0.5,1,0.0,1,29,0.4,121.0,1,1,440,1126,1990.0,5,2,11,1,1,1,1
1082,1,0.9,0,4.0,1,24,0.9,167.0,7,9,425,761,1428.0,16,0,12,1,1,0,2
721,1,2.6,0,1.0,0,49,0.6,168.0,4,8,35,598,3473.0,15,8,17,0,0,0,3
654,1,1.5,1,2.0,0,56,0.7,122.0,1,4,441,520,2609.0,7,2,16,1,1,1,1
1948,1,0.7,0,2.0,0,31,0.4,122.0,2,7,968,1208,2070.0,5,3,5,1,0,1,2
1242,0,1.8,1,4.0,1,56,0.1,122.0,1,8,753,1785,2620.0,18,11,3,1,0,1,3
1453,1,0.5,0,0.0,0,24,0.3,156.0,1,1,29,1055,1619.0,11,5,11,1,0,1,0
1948,1,2.7,0,3.0,1,13,0.2,164.0,7,12,336,587,493.0,18,7,18,1,1,1,3
1232,0,0.9,0,5.0,0,58,1.0,142.0,6,6,1062,1393,2334.0,14,8,13,1,0,1,1
795,0,0.5,1,4.0,1,55,0.3,155.0,3,11,226,1737,3030.0,12,8,17,1,1,0,0
1915,0,0.5,0,4.0,0,24,0.2,106.0,4,17,923,1502,345.0,18,10,20,0,0,1,0
532,0,0.5,0,7.0,0,51,0.6,180.0,7,14,406,1249,1525.0,7,6,2,0,1,1,1
1899,1,0.5,0,4.0,1,28,0.1,95.0,5,7,781,1418,499.0,5,3,15,1,0,1,2
1767,0,2.0,0,5.0,0,31,0.6,88.0,5,8,461,556,3989.0,13,8,7,0,1,0,2
1667,1,2.5,0,17.0,0,5,0.8,119.0,3,20,211,1797,1496.0,13,9,12,0,0,0,2
1346,0,2.6,1,5.0,0,31,0.3,140.0,4,11,17,785,1287.0,10,6,14,1,0,1,2
958,1,2.4,0,1.0,0,54,0.9,166.0,7,2,121,630,3324.0,11,10,18,1,0,1,3
1391,0,1.5,1,6.0,1,39,0.9,88.0,3,18,491,1737,2367.0,18,11,12,1,1,0,3
1176,1,2.3,0,0.0,0,56,0.7,103.0,2,1,93,518,2974.0,6,5,11,1,0,1,0
1863,0,1.0,1,5.0,1,16,0.4,113.0,2,19,261,684,990.0,6,5,13,1,0,0,1
1911,0,1.1,1,3.0,1,16,0.7,154.0,7,4,236,1568,3665.0,14,12,4,1,1,0,1
1789,1,1.8,1,6.0,1,36,0.5,123.0,6,11,418,1740,815.0,5,0,9,1,1,0,2
972,1,1.6,0,2.0,0,64,0.1,85.0,1,9,550,890,2759.0,13,7,10,1,0,0,1
1256,0,0.5,0,3.0,0,8,0.4,191.0,1,9,396,644,2991.0,7,6,19,1,1,0,3
1846,0,1.3,1,0.0,0,35,0.7,107.0,6,0,1336,1432,581.0,16,4,10,1,0,1,3
1900,0,1.4,0,0.0,0,41,0.4,112.0,8,1,342,778,3611.0,14,1,6,1,0,0,3
